排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
401,长春师范大学,吉林,24.3,41.0,,670,406,0.740,0,0,1430,55,0.14%
401,湖北科技学院,湖北,24.3,34.8,85.50%,0,414,0.800,1,0,1531,0,0.04%
403,福建工程学院,福建,24.2,34.0,97.20%,1028,507,0.641,6,0,7846,82,0.03%
403,贵州师范学院,贵州,24.2,23.8,89.98%,0,216,1.230,5,0,1200,0,0
403,吉林医药学院,吉林,24.2,38.7,85.41%,0,203,0.585,1,0,0,0,0.50%
403,泰山医学院,山东,24.2,29.5,86.76%,0,780,0.774,1,0,500,30,4.62%
403,云南民族大学,云南,24.2,28.6,98.75%,0,603,0.860,7,0,188,0,0.16%
408,湖北理工学院,湖北,24.1,34.7,93.14%,0,368,0.656,1,0,2279,0,0.05%
408,江西科技师范大学,江西,24.1,29.0,86.16%,0,888,0.996,15,1,30,0,0.01%
408,青海大学,青海,24.1,36.9,91.00%,16,744,0.567,3,0,13210,0,0.01%
408,山东建筑大学,山东,24.1,36.8,91.37%,0,874,0.548,4,1,37424,157,0
408,西安财经学院,陕西,24.1,41.0,88.92%,0,136,0.442,0,0,100,0,0
408,忻州师范学院,山西,24.1,33.3,89.63%,0,136,0.795,0,0,0,0,0
408,云南农业大学,云南,24.1,30.6,96.55%,0,1031,0.742,9,0,17962,100,0.51%
415,安徽理工大学,安徽,24.0,35.4,95.77%,849,1954,0.480,10,0,56500,5200,0
415,广东第二师范学院,广东,24.0,32.7,97.26%,0,273,0.690,0,0,350,0,0
415,宁波工程学院,浙江,24.0,30.0,97.47%,3864,661,0.761,7,0,15971,10,0.41%
415,沈阳大学,辽宁,24.0,33.4,96.06%,0,756,0.590,4,0,632,0,1.09%
415,沈阳化工大学,辽宁,24.0,35.0,92.57%,40,1168,0.518,1,0,15830,336,1.96%
420,赣南医学院,江西,23.9,29.9,86.16%,0,164,0.912,2,0,0,0,1.31%
420,沈阳理工大学,辽宁,23.9,40.3,94.37%,360,1063,0.291,1,0,2018,885,0.89%
420,西南科技大学,四川,23.9,40.5,,294,2892,0.593,14,0,34280,7890,0
420,延安大学,陕西,23.9,37.8,91.17%,0,570,0.505,1,0,0,0,0
420,遵义医学院,贵州,23.9,34.6,95.89%,0,811,0.579,5,0,1365,0,0.06%
425,鲁东大学,山东,23.8,31.1,94.46%,1634,1538,0.695,7,0,7922,40,0.48%
425,西安文理学院,陕西,23.8,34.0,92.12%,0,219,0.660,2,0,4623,0,0
427,东华理工大学,江西,23.7,30.9,86.43%,0,1185,0.812,16,1,45934,50,0.01%
427,哈尔滨学院,黑龙江,23.7,31.7,93.87%,0,250,0.729,3,0,0,0,0
427,江西农业大学,江西,23.7,31.3,87.76%,453,1235,0.804,8,0,20560,500,0.03%
427,辽宁石油化工大学,辽宁,23.7,34.2,95.37%,2116,1485,0.432,4,0,13753,350,2.27%
427,闽江学院,福建,23.7,30.2,,426,361,1.143,11,0,3000,1711,0.12%
427,曲靖师范学院,云南,23.7,28.3,89.13%,0,282,0.963,7,0,106,0,0.04%
427,西南林业大学,云南,23.7,32.1,95.84%,0,730,0.637,8,0,24857,0,0.10%
434,常州工学院,江苏,23.6,41.4,91.69%,0,394,0.302,0,0,8246,43,0.03%
434,东莞理工学院,广东,23.6,35.1,,1095,656,0.893,12,0,7954,20,0
434,石家庄学院,河北,23.6,37.8,95.65%,0,227,0.417,0,0,0,0,0
434,中原工学院,河南,23.6,33.4,90.86%,0,710,0.657,7,0,10006,1460,0.01%
438,蚌埠医学院,安徽,23.5,31.6,95.37%,0,946,0.665,3,0,1001,0,0
438,湖南文理学院,湖南,23.5,27.1,93.24%,994,565,0.909,9,0,200,1450,0
438,辽宁科技大学,辽宁,23.5,33.1,95.75%,0,1081,0.524,8,0,63430,0,0.41%
438,唐山学院,河北,23.5,38.7,90.82%,0,188,0.431,1,0,651,0,0
438,天津城建大学,天津,23.5,36.5,92.11%,431,234,0.488,1,0,9839,0,0.45%
443,北京服装学院,北京,23.4,35.5,97.94%,0,367,0.419,0,0,9602,0,0.41%
443,广东石油化工学院,广东,23.4,20.5,98.86%,0,472,1.080,13,0,16667,6830,0.30%
443,江西中医药大学,江西,23.4,30.3,88.02%,0,825,0.582,3,0,2964,10470,4.43%
443,齐齐哈尔大学,黑龙江,23.4,31.3,94.35%,1140,997,0.635,7,0,1498,1370,0.68%
443,山东理工大学,山东,23.4,37.2,,2433,2221,0.675,19,0,49730,2300,0.23%
443,陕西理工大学,陕西,23.4,33.0,95.34%,0,617,0.577,5,0,12611,410,0
443,通化师范学院,吉林,23.4,37.3,89.47%,0,107,0.500,0,0,520,0,0.02%
450,成都学院,四川,23.3,33.0,96.30%,0,689,0.528,3,1,15692,0,0.12%
450,廊坊师范学院,河北,23.3,36.4,96.80%,0,139,0.404,0,0,70,0,0
450,齐鲁工业大学,山东,23.3,25.2,98.49%,0,1399,0.828,11,1,20512,20,0.06%
450,五邑大学,广东,23.3,29.4,97.96%,0,733,0.683,7,0,13969,380,0.01%
454,宝鸡文理学院,陕西,23.2,31.7,90.98%,0,555,0.685,6,0,180,0,0
454,贵州财经大学,贵州,23.2,31.2,98.39%,0,301,0.610,1,0,298,0,0
454,华北水利水电大学,河南,23.2,42.0,,0,1908,0.447,6,0,42774,7980,0.02%
454,吉林建筑大学,吉林,23.2,35.8,90.90%,0,249,0.500,0,0,23467,90,0
454,青岛农业大学,山东,23.2,25.0,93.13%,1143,1972,0.892,16,0,45020,850,0.01%
454,上海电机学院,上海,23.2,32.8,99.14%,222,352,0.446,1,0,17376,0,1.38%
460,佳木斯大学,黑龙江,23.1,32.1,81.34%,610,599,0.657,2,0,539,0,2.85%
460,沈阳工程学院,辽宁,23.1,35.7,96.11%,0,232,0.413,1,0,5367,0,0
460,郑州航空工业管理学院,河南,23.1,40.2,,0,382,0.592,5,0,3913,0,0
463,成都信息工程大学,四川,23.0,40.9,,1011,1057,0.528,2,0,23038,40,0
463,河南工程学院,河南,23.0,34.2,95.70%,0,547,0.478,1,0,896,0,0
463,黑龙江科技大学,黑龙江,23.0,33.4,94.81%,574,433,0.520,2,0,9503,0,0
463,湖南财政经济学院,湖南,23.0,37.9,87.86%,0,104,0.430,0,0,3,0,0
467,甘肃农业大学,甘肃,22.9,31.2,92.16%,0,986,0.618,8,0,4899,0,0.02%
467,贵州师范大学,贵州,22.9,31.1,95.09%,1000,816,0.596,5,0,8353,0,0.09%
467,临沂大学,山东,22.9,25.4,97.77%,0,1078,0.811,9,0,900,0,0.03%
467,四川理工学院,四川,22.9,28.5,96.60%,752,990,0.671,8,0,9996,2850,0.09%
467,皖南医学院,安徽,22.9,28.1,96.76%,0,818,0.715,5,0,399,0,0
472,岭南师范学院,广东,22.8,26.6,99.73%,2634,269,0.737,0,0,499,0,0.01%
472,运城学院,山西,22.8,33.5,85.46%,0,281,0.640,2,0,0,0,0
474,赣南师范大学,江西,22.7,27.8,84.69%,0,634,0.875,8,0,2031,5380,0.13%
474,洛阳理工学院,河南,22.7,33.6,92.11%,0,559,0.509,2,0,2172,50,0
474,太原工业学院,山西,22.7,38.3,88.49%,0,129,0.359,2,0,1531,0,0
474,唐山师范学院,河北,22.7,35.0,90.30%,0,100,0.487,2,0,0,0,0
474,中国民用航空飞行学院,四川,22.7,42.7,,0,219,0.430,2,0,2909,0,0
479,长江师范学院,重庆,22.5,27.0,97.57%,0,335,0.709,4,0,3000,500,0
479,湖北文理学院,湖北,22.5,33.9,,1077,378,0.790,1,0,35388,0,0
